index,center,mean,sd,q025,q975,log_center,log_mean,log_sd,log_q025,log_q975,gCenter,gMean,gSD,gQ025,gQ975,bCenter,bMean,bSD,bQ025,bQ975,wCenter,wMean,wSD,wQ025,wQ975,scenario_label,projection_horizon,community_prefix,community_label
summary,NA,NA,NA,NA,NA,-1.8475390640639269,-1.8410778331980802,0.04678881719603042,-1.9262460836091937,-1.7575209728541736,0.15762604583062767,0.1588143428403125,0.007436327618143171,0.14569631847817452,0.17247231268567637,0.5447329656210202,0.5445119680634161,0.0060379520899043965,0.531469909032404,0.5541603300304164,0.5447329656210202,0.5445119680634161,0.0060379520899043965,0.531469909032404,0.5541603300304164,SSP2-4.5 2041-2070,2041-2070,FE3,Sugar Maple - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-2.3702438800474144,-2.372479416686315,0.051520888595952274,-2.487749364364623,-2.295527021324343,0.09345798681967002,0.09336841861953268,0.004782838988883608,0.08309734328231942,0.10075596724642116,0.42458970452802347,0.4230844065805449,0.0054159016110374575,0.410543971853116,0.4311379090230513,0.42458970452802347,0.4230844065805449,0.005415901611037458,0.4105439718531161,0.4311379090230513,SSP2-4.5 2041-2070,2041-2070,FE6,Sugar Maple - Red Oak Forest
summary,NA,NA,NA,NA,NA,-1.4432746358301163,-1.4485353635201674,0.06352414579395226,-1.576358088254148,-1.3044610189851769,0.2361604782785091,0.23537495971656724,0.015085565592188536,0.2067323685490495,0.27134041324726366,0.500777404141931,0.5000734252937379,0.005622366193406891,0.4903373485694079,0.5095060221490371,0.500777404141931,0.5000734252937379,0.005622366193406891,0.4903373485694079,0.5095060221490371,SSP2-4.5 2041-2070,2041-2070,ME1,Black Spruce - Trembling Aspen Forest
summary,NA,NA,NA,NA,NA,-1.0677982715851377,-1.0657716227213305,0.026912810790113522,-1.112912187692591,-1.015321576533217,0.34376465850216703,0.34458296716953096,0.009321940433742293,0.32860068686313304,0.3623228161249522,0.609398624531386,0.608438397811067,0.006039433356134167,0.5970407501788193,0.6178173644432996,0.609398624531386,0.608438397811067,0.006039433356134167,0.5970407501788193,0.6178173644432996,SSP2-4.5 2041-2070,2041-2070,MS6,Balsam Fir - Red Maple Forest
summary,NA,NA,NA,NA,NA,-1.9721779553829757,-1.9700472834316085,0.04382223939054547,-2.051277981520053,-1.8981783971703783,0.13915374826849836,0.13957981538228514,0.006122231253368666,0.1285718964773244,0.14984338979327763,0.5147056743151288,0.5132799322519652,0.006470270708062635,0.5011237152180934,0.5227128368351524,0.5147056743151288,0.5132799322519652,0.006470270708062635,0.5011237152180934,0.5227128368351524,SSP2-4.5 2041-2070,2041-2070,MS1,Balsam Fir - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-1.3773686577915212,-1.3773244974062417,0.07028949767407726,-1.527719309687471,-1.2360939695997457,0.25224264149611036,0.25285873402657005,0.017957766580187832,0.2170428496264041,0.2907409776424644,0.548334889397196,0.5479351622559252,0.0058164597354650235,0.5383858294853221,0.5586606851331779,0.548334889397196,0.5479351622559252,0.0058164597354650235,0.5383858294853221,0.5586606851331779,SSP2-4.5 2041-2070,2041-2070,MS2,Balsam Fir - Paper Birch Forest
summary,NA,NA,NA,NA,NA,-2.499807120636663,-2.4886488598613767,0.06107009120717937,-2.561472314987062,-2.3629233720801373,0.08210083812628598,0.08317514174297641,0.005252311307153634,0.07719467688967754,0.09421425062459098,0.4404231852514854,0.44049747569638825,0.004034943835459891,0.43222207489316555,0.4467936442614285,0.4404231852514854,0.44049747569638825,0.004034943835459891,0.43222207489316555,0.4467936442614285,SSP2-4.5 2041-2070,2041-2070,RE2,Black Spruce - Moss or Heath Forest
summary,NA,NA,NA,NA,NA,-2.55233355519185,-2.550203006735018,0.11319920566366737,-2.7439911147508034,-2.322805326427187,0.07790005490136448,0.07855447775589348,0.009014503306752523,0.06431337632906475,0.09800774405545642,0.3687099442883536,0.36873224665092347,0.004197680188068041,0.3610617543892726,0.3753785616377753,0.3687099442883536,0.36873224665092347,0.004197680188068041,0.3610617543892726,0.3753785616377753,SSP2-4.5 2041-2070,2041-2070,RC3,Peaty Eastern White Cedar - Balsam Fir Forest
summary,NA,NA,NA,NA,NA,-1.9700819583593476,-1.9691233302373863,0.06851965696341047,-2.092138657396152,-1.8616305975336678,0.13944608864171748,0.13989478360857469,0.009525976745195624,0.12344627913802256,0.15542389893269087,0.44237558016701695,0.44301729897618414,0.0069026325861782575,0.43066778383360466,0.4566605492374779,0.44237558016701695,0.44301729897618414,0.006902632586178261,0.43066778383360466,0.4566605492374779,SSP2-4.5 2041-2070,2041-2070,RP1,White or Red Pine Forest
summary,NA,NA,NA,NA,NA,-1.3773686577915212,-1.3773244974062417,0.07028949767407726,-1.527719309687471,-1.2360939695997457,0.25224264149611036,0.25285873402657005,0.017957766580187832,0.2170428496264041,0.2907409776424644,0.548334889397196,0.5479351622559252,0.0058164597354650235,0.5383858294853221,0.5586606851331779,0.548334889397196,0.5479351622559252,0.0058164597354650235,0.5383858294853221,0.5586606851331779,SSP2-4.5 2041-2070,2041-2070,RS2,Balsam Fir - Black Spruce Forest
