index,center,mean,sd,q025,q975,log_center,log_mean,log_sd,log_q025,log_q975,gCenter,gMean,gSD,gQ025,gQ975,bCenter,bMean,bSD,bQ025,bQ975,wCenter,wMean,wSD,wQ025,wQ975,scenario_label,projection_horizon,community_prefix,community_label
summary,NA,NA,NA,NA,NA,-1.3530800870453583,-1.3452872660901625,0.04836043476210123,-1.4427118613622614,-1.2785945253755813,0.2584430091835568,0.26075670682266633,0.012440303475703279,0.23635192589594023,0.27842856065485644,0.6240525122350171,0.6224741689700654,0.008732179237461045,0.6051049600234057,0.6369380555975674,0.6240525122350171,0.6224741689700654,0.008732179237461045,0.6051049600234057,0.6369380555975674,SSP2-4.5 2071-2100,2071-2100,FE3,Sugar Maple - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-1.740431942135293,-1.7495545753367971,0.05240428974783804,-1.8672369753747828,-1.6817172898536077,0.17544461153961866,0.17407970518424615,0.008974639089937649,0.15455080682538433,0.1860616233791682,0.5136004496972206,0.5135430287230729,0.00799376321946622,0.49295616098653183,0.5242541045352256,0.5136004496972206,0.513543028723073,0.007993763219466219,0.49295616098653183,0.5242541045352256,SSP2-4.5 2071-2100,2071-2100,FE6,Sugar Maple - Red Oak Forest
summary,NA,NA,NA,NA,NA,-1.5321566013750534,-1.538319487918765,0.05896095933552805,-1.6344110422913367,-1.426112358406544,0.21606958604159954,0.21510230317297704,0.0126659136857259,0.19513211755440973,0.24024591567226142,0.5077373775643275,0.5079685784578986,0.005574279118409242,0.4983605844484962,0.5196343735068818,0.5077373775643275,0.5079685784578986,0.005574279118409242,0.4983605844484962,0.5196343735068818,SSP2-4.5 2071-2100,2071-2100,ME1,Black Spruce - Trembling Aspen Forest
summary,NA,NA,NA,NA,NA,-0.7933989925214624,-0.7920368654688089,0.020762671756762285,-0.8263140828478014,-0.7483970719193719,0.45230569284432853,0.4530159602662056,0.009446355717558577,0.43766248316383216,0.47313303964662323,0.6714373785486267,0.6714700337902867,0.006603667579099117,0.6590965259244825,0.683975818290437,0.6714373785486267,0.6714700337902867,0.006603667579099117,0.6590965259244825,0.683975818290437,SSP2-4.5 2071-2100,2071-2100,MS6,Balsam Fir - Red Maple Forest
summary,NA,NA,NA,NA,NA,-1.4576956595905766,-1.4519174705089708,0.04684460837906642,-1.531994566268605,-1.376905751001484,0.23277205815011381,0.23436778377128975,0.010877813114089857,0.21619022572905908,0.25235821261180724,0.5944482968811506,0.5945659477171262,0.0071838449095146814,0.5802967169983292,0.6069757769241718,0.5944482968811506,0.5945659477171262,0.0071838449095146814,0.5802967169983292,0.6069757769241718,SSP2-4.5 2071-2100,2071-2100,MS1,Balsam Fir - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-1.4617997355431913,-1.4671646569096313,0.06348330741523842,-1.5750978494194947,-1.345658973441418,0.23182047189821808,0.2310241475826775,0.014502351166782713,0.20718775260713268,0.26037177377809473,0.5572473108147449,0.5578355851438037,0.005982570493034513,0.5490273760518696,0.5694627746862391,0.5572473108147449,0.5578355851438037,0.005982570493034513,0.5490273760518696,0.5694627746862391,SSP2-4.5 2071-2100,2071-2100,MS2,Balsam Fir - Paper Birch Forest
summary,NA,NA,NA,NA,NA,-2.766518979764446,-2.7758189541427005,0.07821084029341442,-2.9660113060526565,-2.6437906300104252,0.06288051601529654,0.062479755032998255,0.004770700085785892,0.05150849481133122,0.0710956731048624,0.4315796176559856,0.4321110441986795,0.0047715047418218,0.42474965068387927,0.4417268265235972,0.4315796176559856,0.4321110441986795,0.0047715047418218,0.42474965068387927,0.4417268265235972,SSP2-4.5 2071-2100,2071-2100,RE2,Black Spruce - Moss or Heath Forest
summary,NA,NA,NA,NA,NA,-2.5496840829441374,-2.565376191104954,0.11003956422169127,-2.7731966156461594,-2.417150640969866,0.07811144227660335,0.07733511844859431,0.008334123297443215,0.06246204750830993,0.0891753688579198,0.3825060212718687,0.38204446306593676,0.005829735989128409,0.36930719214993296,0.3908050015873607,0.3825060212718687,0.38204446306593676,0.005829735989128409,0.36930719214993296,0.3908050015873607,SSP2-4.5 2071-2100,2071-2100,RC3,Peaty Eastern White Cedar - Balsam Fir Forest
summary,NA,NA,NA,NA,NA,-1.5159526992054415,-1.5080455510479085,0.06498813975541579,-1.6271548117870287,-1.3773388170041814,0.21959889650573594,0.22179714989637828,0.014554356680354678,0.19648863119738735,0.25225061895407075,0.5148421214903064,0.5162728961960307,0.009527415245907545,0.4996874218183358,0.5322455025515652,0.5148421214903064,0.5162728961960307,0.009527415245907554,0.4996874218183358,0.5322455025515652,SSP2-4.5 2071-2100,2071-2100,RP1,White or Red Pine Forest
summary,NA,NA,NA,NA,NA,-1.4617997355431913,-1.4671646569096313,0.06348330741523842,-1.5750978494194947,-1.345658973441418,0.23182047189821808,0.2310241475826775,0.014502351166782713,0.20718775260713268,0.26037177377809473,0.5572473108147449,0.5578355851438037,0.005982570493034513,0.5490273760518696,0.5694627746862391,0.5572473108147449,0.5578355851438037,0.005982570493034513,0.5490273760518696,0.5694627746862391,SSP2-4.5 2071-2100,2071-2100,RS2,Balsam Fir - Black Spruce Forest
