index,center,mean,sd,q025,q975,log_center,log_mean,log_sd,log_q025,log_q975,gCenter,gMean,gSD,gQ025,gQ975,bCenter,bMean,bSD,bQ025,bQ975,wCenter,wMean,wSD,wQ025,wQ975,scenario_label,projection_horizon,community_prefix,community_label
summary,NA,NA,NA,NA,NA,-1.4264190032065585,-1.4275437860073192,0.04859893192642573,-1.5129675644566918,-1.3482362821088094,0.24016922819819758,0.24017058149875337,0.011619627802974769,0.22026176442085413,0.25970067356288823,0.6061683143882315,0.6054882563488421,0.005721383775834961,0.5958472087487464,0.6148778192274156,0.6061683143882315,0.6054882563488421,0.005721383775834961,0.5958472087487464,0.6148778192274156,SSP5-8.5 2041-2070,2041-2070,FE3,Sugar Maple - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-1.8373238357605937,-1.846558717665769,0.05387057952913237,-1.9446955632286285,-1.7744171029002973,0.15924371301164,0.1579986363947693,0.008396559171799264,0.1430311781818404,0.1695825456370825,0.4947114097040586,0.49501431805905916,0.004952748371837544,0.4874168711854867,0.5045594461772295,0.49471140970405864,0.49501431805905916,0.004952748371837553,0.4874168711854867,0.5045594461772295,SSP5-8.5 2041-2070,2041-2070,FE6,Sugar Maple - Red Oak Forest
summary,NA,NA,NA,NA,NA,-1.5187536024316368,-1.5282976178714602,0.07273788651662812,-1.6759168715221269,-1.4184261183565865,0.21898570881446672,0.21745105494342537,0.015456859273797165,0.18723593857236914,0.24209698009494746,0.5076259234334668,0.5073164548506829,0.005237648967921459,0.4974138836475068,0.5155636372161891,0.5076259234334668,0.5073164548506829,0.005237648967921459,0.4974138836475068,0.5155636372161891,SSP5-8.5 2041-2070,2041-2070,ME1,Black Spruce - Trembling Aspen Forest
summary,NA,NA,NA,NA,NA,-0.8457566387025398,-0.8427976740028504,0.026388175431764332,-0.8783846121088577,-0.7940980613404918,0.42923251873084933,0.43064986280428297,0.011425890328714895,0.41545397451816035,0.45198916099110353,0.656317787438526,0.6570354607813553,0.00561003321442742,0.6481838966090446,0.6680631101459099,0.656317787438526,0.6570354607813553,0.00561003321442742,0.6481838966090446,0.6680631101459099,SSP5-8.5 2041-2070,2041-2070,MS6,Balsam Fir - Red Maple Forest
summary,NA,NA,NA,NA,NA,-1.5289241036270385,-1.5394228461270734,0.05079191228427761,-1.621031085410173,-1.4648499605064296,0.21676901492273218,0.21477186882894256,0.010871047917052875,0.19769640863280136,0.23111901611312724,0.5745541767508081,0.5751579203829877,0.005692963403074261,0.564598682330717,0.5848033065882869,0.5745541767508081,0.5751579203829877,0.005692963403074261,0.564598682330717,0.5848033065882869,SSP5-8.5 2041-2070,2041-2070,MS1,Balsam Fir - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-1.4629423873581524,-1.466266463375973,0.07605186521646302,-1.6293103436467513,-1.3663589522772976,0.23155753140723007,0.23141825903844532,0.017077010382709826,0.19614091550707366,0.25503394422808046,0.5535766459246699,0.5535589397550076,0.005611602232334741,0.5440905607787,0.5622117415754346,0.5535766459246699,0.5535589397550076,0.005611602232334741,0.5440905607787,0.5622117415754346,SSP5-8.5 2041-2070,2041-2070,MS2,Balsam Fir - Paper Birch Forest
summary,NA,NA,NA,NA,NA,-2.7057177298937884,-2.704314576870682,0.07642046268334579,-2.8245527077127304,-2.5756103408928306,0.06682256012875146,0.0671052530466261,0.005127965191433589,0.05934888444299513,0.0761114595513259,0.4350208359301203,0.43403115651109847,0.0043289673678875975,0.42558840134252746,0.44034021177741167,0.4350208359301203,0.43403115651109847,0.0043289673678875975,0.42558840134252746,0.44034021177741167,SSP5-8.5 2041-2070,2041-2070,RE2,Black Spruce - Moss or Heath Forest
summary,NA,NA,NA,NA,NA,-2.537884867827084,-2.577107594282336,0.14341442867417772,-2.85369158797668,-2.337426721396001,0.07903357390738155,0.07673875648124466,0.010755557825499858,0.05765440607724182,0.09668874155738444,0.37721137336686816,0.37822584882884447,0.00601930119212326,0.36887271957010426,0.39013031486744965,0.37721137336686816,0.37822584882884447,0.00601930119212326,0.36887271957010426,0.39013031486744965,SSP5-8.5 2041-2070,2041-2070,RC3,Peaty Eastern White Cedar - Balsam Fir Forest
summary,NA,NA,NA,NA,NA,-1.5874629802990001,-1.5780941769515013,0.06061037605814171,-1.6768934799020152,-1.470983183899732,0.20444365543368306,0.2067374424364297,0.012675578267647104,0.18696041262463028,0.22976957327303904,0.5024381443236053,0.5023301010978936,0.006756138036718772,0.4916291209987567,0.5150865426405082,0.5024381443236053,0.5023301010978936,0.006756138036718763,0.4916291209987567,0.5150865426405081,SSP5-8.5 2041-2070,2041-2070,RP1,White or Red Pine Forest
summary,NA,NA,NA,NA,NA,-1.4629423873581524,-1.466266463375973,0.07605186521646302,-1.6293103436467513,-1.3663589522772976,0.23155753140723007,0.23141825903844532,0.017077010382709826,0.19614091550707366,0.25503394422808046,0.5535766459246699,0.5535589397550076,0.005611602232334741,0.5440905607787,0.5622117415754346,0.5535766459246699,0.5535589397550076,0.005611602232334741,0.5440905607787,0.5622117415754346,SSP5-8.5 2041-2070,2041-2070,RS2,Balsam Fir - Black Spruce Forest
