scenario_label,projection_horizon,species,center,mean,sd,q025,q975
SSP5-8.5 2011-2040,2011-2040,ERR_n,0.4256734409180379,0.426522888165075,0.008039534306098646,0.41421264452620715,0.4420699576920086
SSP5-8.5 2011-2040,2011-2040,ERS_n,0.2568355067157233,0.25734653082421116,0.009528082885148663,0.24340298900777793,0.2748614429399931
SSP5-8.5 2011-2040,2011-2040,BOJ_n,0.3042255598665593,0.3056247943304492,0.00668473333622712,0.29508715848997225,0.31810271655463235
SSP5-8.5 2011-2040,2011-2040,BOP_n,0.5664003114720666,0.5665031814589943,0.005041728177885715,0.5581065284325957,0.5758907015460242
SSP5-8.5 2011-2040,2011-2040,EPB_n,0.4251004350550524,0.425719088415786,0.0075694943936804576,0.41454641872178805,0.43897993701568044
SSP5-8.5 2011-2040,2011-2040,SAB_n,0.7361852983255643,0.735552629891149,0.005372178840059107,0.7257273220504852,0.7443621018743882
SSP5-8.5 2011-2040,2011-2040,EPN_n,0.4225774501962568,0.4220746880768177,0.005864391441424082,0.410788955974725,0.4321222869677473
SSP5-8.5 2011-2040,2011-2040,THO_n,0.2197960727911621,0.22237461913920625,0.008159802203333016,0.2113795828954828,0.23835432247137603
SSP5-8.5 2011-2040,2011-2040,PRP_n,0.09430305033778637,0.09350914935471549,0.006831155749644507,0.07831070403724781,0.10490555888117478
SSP5-8.5 2011-2040,2011-2040,PET_n,0.24531261643424496,0.2462847000351464,0.004910056214087454,0.23699757571904698,0.25508641713568014
SSP5-8.5 2011-2040,2011-2040,PIB_n,0.11727111539819667,0.11775384357682527,0.006475032127172048,0.10754375152517168,0.1298814376324107
SSP5-8.5 2011-2040,2011-2040,MEL_n,0.03979234208322596,0.04031296642585608,0.002884931219958494,0.035776702116037895,0.045541594594718134
SSP5-8.5 2011-2040,2011-2040,PIG_n,0.07900090536081761,0.07875291882999229,0.0036660831767878215,0.07214868073735711,0.08445149667295258
