scenario_label,projection_horizon,species,center,mean,sd,q025,q975
SSP2-4.5 2071-2100,2071-2100,ERR_n,0.6711030814391346,0.6711045738884304,0.00691701588392948,0.6583620410471607,0.682277909353626
SSP2-4.5 2071-2100,2071-2100,ERS_n,0.48729808866784996,0.48887456723479134,0.015270991729170257,0.4635138101472634,0.5191752400663163
SSP2-4.5 2071-2100,2071-2100,BOJ_n,0.5283075783736213,0.5300218877924812,0.01780052635231348,0.495210022761035,0.5604215720941059
SSP2-4.5 2071-2100,2071-2100,BOP_n,0.6541490560300139,0.6554082254314841,0.014455672975729136,0.6292527418196854,0.682304579605306
SSP2-4.5 2071-2100,2071-2100,EPB_n,0.5444158202101048,0.5437753404197275,0.011990691866277239,0.5244375434026618,0.5686036387659682
SSP2-4.5 2071-2100,2071-2100,SAB_n,0.8161074354644855,0.8155919954215047,0.007351065981534423,0.8026801934684952,0.827664053508057
SSP2-4.5 2071-2100,2071-2100,EPN_n,0.21732454577685706,0.21656677930249865,0.009548242961615275,0.19909276609837978,0.23271355692437207
SSP2-4.5 2071-2100,2071-2100,THO_n,0.46309828643659323,0.4590093981177976,0.018626961112877254,0.42291057702299306,0.4904455137990171
SSP2-4.5 2071-2100,2071-2100,PRP_n,0.15776789919382755,0.1619706830701431,0.01790465086168202,0.13969750921444868,0.19745225392147334
SSP2-4.5 2071-2100,2071-2100,PET_n,0.34336542315633645,0.34430731367610656,0.01399905804308484,0.3205070038564473,0.37040361109665476
SSP2-4.5 2071-2100,2071-2100,PIB_n,0.22057196977413213,0.2223058892681777,0.01919236887848879,0.19221810266132663,0.2627655766759366
SSP2-4.5 2071-2100,2071-2100,MEL_n,0.037226685532267295,0.037009679421945975,0.0045884968846595054,0.02885771746001719,0.04408837142168514
SSP2-4.5 2071-2100,2071-2100,PIG_n,0.04087450839061074,0.04087717663923056,0.0043139142295054835,0.03511150216843219,0.048420855903767615
