index,center,mean,sd,q025,q975,log_center,log_mean,log_sd,log_q025,log_q975,gCenter,gMean,gSD,gQ025,gQ975,bCenter,bMean,bSD,bQ025,bQ975,wCenter,wMean,wSD,wQ025,wQ975,scenario_label,projection_horizon,community_prefix,community_label
summary,NA,NA,NA,NA,NA,-2.038206704014242,-2.034866069225764,0.05779064315124924,-2.1554461346426366,-1.9470320939033514,0.13026272407088574,0.1309074956337075,0.007481195181296552,0.11585171615484963,0.14270338058860754,0.5169056146280362,0.5164959939518026,0.00409361120928384,0.5073954558450875,0.5225950358591253,0.5169056146280362,0.5164959939518026,0.00409361120928384,0.5073954558450875,0.5225950358591253,SSP1-2.6 2071-2100,2071-2100,FE3,Sugar Maple - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-2.6157337717254423,-2.6235989459628626,0.04416469991800659,-2.7116956600863884,-2.55746298421854,0.07311419693161855,0.0726092328746587,0.003172229938949427,0.06643004148404698,0.07750115704897716,0.3901188924358978,0.3898924891383719,0.0042763134908823455,0.3826427701705769,0.39867511657371263,0.3901188924358978,0.3898924891383719,0.004276313490882349,0.3826427701705769,0.39867511657371263,SSP1-2.6 2071-2100,2071-2100,FE6,Sugar Maple - Red Oak Forest
summary,NA,NA,NA,NA,NA,-1.420058074055067,-1.420754280998006,0.0494572307910585,-1.519733821315229,-1.3397477896490038,0.24170051353084626,0.24181552142760138,0.011843088159719538,0.21880323417481698,0.26191191416618287,0.4969000788388477,0.4981269465756565,0.0053911999640213985,0.48977759250255926,0.5067999199280278,0.4969000788388477,0.4981269465756565,0.0053911999640213985,0.48977759250255926,0.5067999199280278,SSP1-2.6 2071-2100,2071-2100,ME1,Black Spruce - Trembling Aspen Forest
summary,NA,NA,NA,NA,NA,-1.1677105414794209,-1.169642418852674,0.025896751036686563,-1.2195237490163313,-1.126118139944187,0.31107841391778296,0.31057845439205,0.008026598302988101,0.2953725553915095,0.32429093546830917,0.5850561751470376,0.5854489215082719,0.004987734461521917,0.5790072783520169,0.5955548529786981,0.5850561751470376,0.5854489215082719,0.004987734461521917,0.5790072783520169,0.5955548529786981,SSP1-2.6 2071-2100,2071-2100,MS6,Balsam Fir - Red Maple Forest
summary,NA,NA,NA,NA,NA,-2.168885488806213,-2.170323756407837,0.04881129304323563,-2.252849256429749,-2.0896293471716274,0.11430622954456127,0.11427191684488475,0.005562647927422184,0.10509936341703599,0.12373433541799406,0.48544587713857035,0.4850650661712235,0.004207853888418042,0.4759298398877238,0.4918526761641805,0.48544587713857035,0.4850650661712235,0.004207853888418042,0.4759298398877238,0.4918526761641805,SSP1-2.6 2071-2100,2071-2100,MS1,Balsam Fir - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-1.3524602548047375,-1.3519049637244438,0.053449831743072815,-1.4460309721740785,-1.2598884262331849,0.2586033188174216,0.2591042570520527,0.013845587399646383,0.23552155362825394,0.2836925262875353,0.5441539237596524,0.5453260243763323,0.005485234786363308,0.5370891207904689,0.5563143872503796,0.5441539237596524,0.5453260243763323,0.005485234786363308,0.5370891207904689,0.5563143872503796,SSP1-2.6 2071-2100,2071-2100,MS2,Balsam Fir - Paper Birch Forest
summary,NA,NA,NA,NA,NA,-2.3757722606188665,-2.3791290244294405,0.06648340162628369,-2.50082501573006,-2.26421340597114,0.09294306171617153,0.09282809917136019,0.0061199112768579944,0.0820441044539956,0.10391343244945449,0.4439471948414092,0.4441171639355197,0.003897156430609692,0.4383254951617892,0.4508304051913815,0.4439471948414092,0.4441171639355197,0.003897156430609692,0.4383254951617892,0.4508304051913815,SSP1-2.6 2071-2100,2071-2100,RE2,Black Spruce - Moss or Heath Forest
summary,NA,NA,NA,NA,NA,-2.61321440693422,-2.610156815999426,0.10219682025231955,-2.776185475769899,-2.434896986857732,0.07330109574248486,0.07389892855337973,0.007694372547267233,0.062294232967953396,0.0878041615975353,0.36292240067939907,0.3619499206776052,0.0052728427290497345,0.35365293467781406,0.3706915618141918,0.36292240067939907,0.3619499206776052,0.0052728427290497345,0.35365293467781406,0.3706915618141918,SSP1-2.6 2071-2100,2071-2100,RC3,Peaty Eastern White Cedar - Balsam Fir Forest
summary,NA,NA,NA,NA,NA,-2.170152407632508,-2.157287245421599,0.061503998616793336,-2.2650497329892016,-2.046841939359318,0.11416021690904778,0.11585031029134771,0.007144569559078343,0.10382521926883506,0.12914213793103785,0.4159160126067556,0.41576841848352986,0.00506356603159689,0.4066237919020344,0.4245306835589816,0.41591601260675554,0.4157684184835298,0.005063566031596892,0.4066237919020344,0.4245306835589816,SSP1-2.6 2071-2100,2071-2100,RP1,White or Red Pine Forest
summary,NA,NA,NA,NA,NA,-1.3524602548047375,-1.3519049637244438,0.053449831743072815,-1.4460309721740785,-1.2598884262331849,0.2586033188174216,0.2591042570520527,0.013845587399646383,0.23552155362825394,0.2836925262875353,0.5441539237596524,0.5453260243763323,0.005485234786363308,0.5370891207904689,0.5563143872503796,0.5441539237596524,0.5453260243763323,0.005485234786363308,0.5370891207904689,0.5563143872503796,SSP1-2.6 2071-2100,2071-2100,RS2,Balsam Fir - Black Spruce Forest
