scenario_label,projection_horizon,species,center,mean,sd,q025,q975
Current,Baseline,ERR_n,0.23183302211502038,0.23226031673372552,0.003942234700826856,0.2250823270726026,0.24020205280692897
Current,Baseline,ERS_n,0.13356977180729768,0.1335766317537856,0.0035841230647449185,0.12653108665965604,0.1387924625654911
Current,Baseline,BOJ_n,0.16473315986167003,0.16490623061078122,0.003979519040371837,0.1585386516678312,0.17262246322521946
Current,Baseline,BOP_n,0.495898071413114,0.4965692444459611,0.005566546866532876,0.4886375241923267,0.5072240037333176
Current,Baseline,EPB_n,0.3544049973929394,0.3543144892691143,0.005157170088078594,0.346132130831123,0.3625431129702782
Current,Baseline,SAB_n,0.6694059872483523,0.6698460141753193,0.004447581867214017,0.6622507050314176,0.6794481567018273
Current,Baseline,EPN_n,0.5767866535162229,0.5776388924286207,0.004433582104969126,0.5713239355070814,0.5854266976996629
Current,Baseline,THO_n,0.09708827425036515,0.0969568565568427,0.0033506700771711133,0.09016756384012273,0.10391143612243915
Current,Baseline,PRP_n,0.06372964066828894,0.06358576042002148,0.0033078679456603637,0.05755323119635239,0.06928742077876265
Current,Baseline,PET_n,0.18489743487985438,0.1850084541130374,0.005164304707208978,0.17531072564763198,0.1946763238224848
Current,Baseline,PIB_n,0.05931645225707492,0.05890700662690655,0.002565887349511803,0.05384196628434425,0.06219059459530411
Current,Baseline,MEL_n,0.04432695822402931,0.044100048077406244,0.002584734827754937,0.03949905168439571,0.0482820694664609
Current,Baseline,PIG_n,0.12183688506049892,0.12239972624887031,0.003361223246129713,0.11627904961747929,0.12813491113996023
